eventid,year,month,day,country_txt,region_txt,provstate,city,latitude,longitude,location,summary,alternative,alternative_txt,success,suicide,attacktype1_txt,attacktype2,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2,natlty2_txt,guncertain3,individual,nperps,weaptype1_txt
54,1975,12,10,United States,North America,Massachusetts,Boston,42.358635,-71.056699,office building,"12/10/1975: A molotov cocktail is thrown through the front window of the NAACP office in South Boston, Massachusetts, United States, by four white men driving by in a car around midnight.  The firebomb damaged files, furniture and possibly structural beams, causing over $2,000 in damages.  No casualties resulted from the incident. The firebombing came as response to US District Court Judge W. Arthur Garrity Jr.'s decision to place South Boston High School under federal court supervision and implement desegregation.  His decision was met with fights between black and white students at the high school, and opposition and anger from many school officials and political leaders in Boston who denounced his orders and his lack of acknowledgement of faculty efforts to implement his desegregation requirements.",2,Other Crime Type,1,0,Facility/Infrastructure Attack,,NGO,Domestic NGO,NAACP,NAACP office,United States,White extremists,,"The firebombing came as response to US District Court Judge W. Arthur Garrity Jr.'s decision to place South Boston High School under federal court supervision and implement desegregation.  His decision was met with fights between black and white students at the high school, and opposition and anger from many school officials and political leaders in Boston who denounced his orders and his lack of acknowledgement of faculty efforts to implement his desegregation requirements.",Incendiary,19,Molotov Cocktail/Petrol Bomb,molotov cocktail
55,1976,2,4,United States,North America,California,Keyes,37.55765,-120.913774,residence,"02/04/1976: An arson, set by unknown perpetrator(s), destroyed the home of a black contractor in Keyes, California, in the United States.  His residence was one of only two black families in the town of 1,500 people, and several previous attempts at persuading the family to leave town had been unsuccessful.  It is unknown whether any injuries or fatalities resulted from the arson.",,,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Race/Ethnicity Identified,,residence of black family,United States,White extremists,,"The specific motive is unknown; but it appears that it was racially driven, but also to send a message to other black families in the area.",Incendiary,18,Arson/Fire,
56,1976,3,8,United States,North America,Kentucky,Louisville,38.25486,-85.766404,residence,"03/08/1976: Unknown perpetrator(s) exploded dynamite in front of the home of Alfis Coleman, the only black man in a white neighborhood in Louisville, Kentucky, United States.  There were no casualties, but the explosion broke the windows in the front of the home. Coleman's family was also the target of several incidents since the schools in surrounding counties were desegregated in September 1975, including getting rocks thrown through the windows of his home as well as shots fired into the house, prior to this incident.",,,1,0,Bombing/Explosion,,Private Citizens & Property,Race/Ethnicity Identified,,residence of black man and his family,United States,White extremists,,"The specific motive is unknown; however, Coleman was also the target of several other incidents since the schools in surrounding counties were desegregated in September 1975, in attempts to persuade his family to leave the area.",Explosives,28,Dynamite/TNT,stick of dynamite
57,1976,9,6,United States,North America,Maryland,Hyattsville,38.95259,-76.942074,Maryland suburb,"9/6/1976: James Clayton Vaughn Jr. sprayed chemical mace on an African American male and his White girlfriend in a Maryland Suburb of Washington, District of Columbia, in the United States.  It is unknown if either individual sustained any injuries.  A few days after he was arrested, he officially changed his name to Joseph Paul Franklin.",,,1,0,Unarmed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Interracial couple in a Maryland suburb of Washington D.C.,Interracial couple,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Chemical,1,Poisoning,chemical mace
58,1977,7,29,United States,North America,Tennessee,Chattanooga,35.04644,-85.309464,,"7/29/1977: Joseph Paul Franklin bombed the Beth Shalom synagogue in Chattanooga, Tennessee in the United States.  There were no casualties, but the synagogue was destroyed.",,,1,0,Bombing/Explosion,,Religious Figures/Institutions,Place of Worship,Beth Shalom synagogue,Jewish temple,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Explosives,16,Unknown Explosive Type,
59,1977,10,8,United States,North America,Missouri,Richmond Heights,38.628135,-90.319909,parking lot,"10/8/1977: Joseph Paul Franklin fired 5 shots into a crowd of people leaving a Bar Mitzvah at the Brith Shalom Kneseth Israel Congregation synagogue in Richmond Heights, Missouri in the United States.  Gerald Gordon died, and Steven Goldman and William Ash were wounded.",,,1,0,Armed Assault,,Private Citizens & Property,Religion Identified,Jewish people at Brith Shalom Kneseth Israel Congregation,Jews leaving a Bar Mitzvah at synagogue,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,4,Rifle/Shotgun (non-automatic),sniper rifle
60,1978,3,6,United States,North America,Georgia,Lawrenceville,33.952465,-83.987994,outside of cafeteria,"3/6/1978: Joseph Paul Franklin was suspected of shooting Larry Flynt and his attorney Gene Reeves outside of the courthouse in Lawrenceville, Georgia, United States.  Flynt and Reeves were both injured.",,,0,0,Assassination,,Private Citizens & Property,Named Civilian,,Larry Flynt,United States,White extremists,,To protest the presence of interracial sex in Larry Flynt's Hustler Magazine.,Firearms,4,Rifle/Shotgun (non-automatic),.44 caliber rifle
61,1978,7,29,United States,North America,Tennessee,Chattanooga,35.04644,-85.309464,parking lot,"7/29/1978: Joseph Paul Franklin shot William Bryant Tatum, an African American, and his White girlfriend Nancy Hilton in the parking lot of a Pizza Hut in Chattanooga, Tennessee in the United States.  Tatum died from his injuries while Hilton survived.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Interracial couple,Interracial couple,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,4,Rifle/Shotgun (non-automatic),12 gauge shotgun
62,1978,12,15,United States,North America,Alabama,Cullman,34.174375,-86.843454,The incident occurred near Interstate 65.,"12/15/1978: Black preacher, Manuel Whitfield of Columbus, Georgia, was abducted while hitchhiking on Interstate 65  in Cullman, Alabama, in the United States, by three white men in a van, who then dragged Whitfield into the woods and whipped and beat him, and then left him outside, a mile west of the highway. Whitfield survived and was treated for his wounds.  The Ku Klux Klan claimed responsibility for the attack and stated that Whitfield had no business being in Alabama and that the beating will teach him to stay out; the motive was that Whitfield had denounced the rape conviction of black man Tommy Lee Hines, for raping a white woman.  Earlier this day, Whitfield preached for three hours on the steps of the Cullman County courthouse, at which time he denounced the conviction, and was taunted by whites. Whitfield initially refused to press charges against the perpetrators, but then later agreed to testify before a Federal grand jury.",,,1,0,Hostage Taking (Kidnapping),2,Religious Figures/Institutions,Religious Figure,,"black preacher, Manuel Whitfield",United States,Ku Klux Klan,,"The Ku Klux Klan  stated that Whitfield had no business being in Alabama and that the beating will teach him to stay out; the motive was that Whitfield had denounced the rape conviction of black man Tommy Lee Hines, for raping a white woman.",Melee,24,Rope or Other Strangling Device,
63,1979,5,26,United States,North America,Alabama,Decatur,34.607389,-86.979767,at Southern Christian Leadership Conference march,"05/26/1979: Members of the Ku Klux Klan, armed with guns, clubs, and sticks, disrupted a march of the Southern Christian Leadership Conference in Decatur, Alabama, United States.  The march was in support of a mentally disabled black man who was charged with raping a white woman, and convicted by an all-white jury.  During the march, Klansmen blocked the street, disobeyed police orders to allow the marchers to pass, and opened gunfire, injuring two black marchers and five law enforcements officials.  Two Klansmen were also shot and wounded. In May 1984, ten Klansmen were charged in federal court for civil rights violations in a violent disruption of black marchers and police, and nine of the men were charged with the conspiracy of use of force or threat of force for purposes of intimidating parade participants because of their race. By January 1989, all ten Klan members had either been found guilty or pleaded guilty to the charges brought against them in this incident.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,,"a group of black marchers during a Southern Christian Leadership Conference parade, who were marching in support of a black man who was previously charged for the rape of a white woman",United States,Ku Klux Klan,,"The Klansmen intentionally intended to interrupt the march due to the fact that the marchers were protesting the conviction, by an all-white jury, of a mentally disabled black man for the rape of a white woman.",Firearms,5,Unknown Gun Type,"guns, clubs, and sticks"
64,1979,7,12,United States,North America,Georgia,Doraville,33.900942,-84.279003,parking lot,"7/12/1979: Joseph Paul Franklin shot and killed Harold McIver, an African American, as he left a Taco Bell in Doraville, Georgia, United States.  Franklin believed that McIver was 'hitting on' young White women.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,,African American suspected of flirting with white women,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,4,Rifle/Shotgun (non-automatic),sniper rifle
65,1979,8,18,United States,North America,Virginia,Falls Church,38.887344,-77.17897,700 W. Broad Street,"8/18/1979: Joseph Paul Franklin, while stationed outside a Burger King in Falls Church, Virginia, in the United States, shot and killed Raymond Turner, an African American, who was eating inside the restaurant.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,,African American man,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,4,Rifle/Shotgun (non-automatic),sniper rifle
66,1979,10,21,United States,North America,Oklahoma,Oklahoma City,35.472015,-97.520354,parking lot,"10/21/1979: Joseph Paul Franklin was suspected of shooting Jesse Eugene Taylor, an African American, and his White girlfriend Marian Lisa Bressette outside of a supermarket in Oklahoma City, Oklahoma, United States.  Both Taylor and Bressette died from their injuries.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,"Interracial couple in Oklahoma City, Oklahoma",Interracial couple,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,4,Rifle/Shotgun (non-automatic),sniper rifle
67,1979,11,3,United States,North America,North Carolina,Greensboro,36.068994,-79.794704,,,,,1,0,Armed Assault,,Private Citizens & Property,Protester,,Anti-Klan Protestors,United States,Ku Klux Klan,,,Firearms,5,Unknown Gun Type,Firearm
68,1980,1,12,United States,North America,Indiana,Indianapolis,39.76691,-86.149964,,"1/12/1980: Joseph Paul Franklin was suspected of being the sniper who shot and killed Lawrence E. Reese, an African American, who was standing inside a Church's Fried Chicken restaurant in Indianapolis, Indiana, United States.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,"Black person  in Indianapolis, Indiana",African American,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,4,Rifle/Shotgun (non-automatic),sniper rifle
69,1980,1,14,United States,North America,Indiana,Indianapolis,39.76691,-86.149964,,"1/14/1980: Joseph Paul Franklin was suspected of being the sniper who shot and killed Theo T. Watkins, an African American, who was standing inside a Qwic Pic Market in Indianapolis, Indiana, United States.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,"Black person  in Indianapolis, Indiana",African American,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,4,Rifle/Shotgun (non-automatic),sniper rifle
70,1980,2,17,United States,North America,New Jersey,Barnegat,39.753995,-74.222819,"at residence on Village Drive in Barnegat, NJ","02/17/1980: Shots were fired into the home and garage of a black family on Village Drive in Barnegut, New Jersey, United States.  Eighteen-year-old Aaron Morrison, who was a Ku Klux Klan organizer, was suspected to be responsible for the shots, and after searching his home, police found an arsenal of weapons including four rifles, two handguns, a shotgun, knives, brass knuckles, and ammunition in the attic of Morrison's home on Village Drive, just across the street from the home which was the target of the shots fired. It is unknown whether any damage was caused by the shots or if any individuals were injured.",2,Other Crime Type,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,Black family,Home of Joseph Sanders and his family,United States,Ku Klux Klan,,Unknown,Firearms,5,Unknown Gun Type,
71,1980,4,19,United States,North America,Georgia,Wrightsville,32.729505,-82.719069,at mobile home,"04/19/1980: Two white men fired shots from a shotgun into a mobile home while driving by, in Wrightsville, Georgia, United States, wounding nine-year-old black girl, Constance Folsom, in the forehead, neck, and chin.  The girl was in satisfactory condition and treated for her wounds.  It is unknown whether any property damage occurred. This incident occurred a few hours after a demonstration protesting the treatment of blacks in the racially divided community.  For several weeks prior to the incident, there had been unrest in the community between whites and blacks, with blacks protesting against racial, economic, and political injustices against them, asking for better jobs and representation in local government.  The perpetrators, Herschel Hall and Danny Foskey, were arrested and charged with aggravated assault. It is uncertain whether the two are members of the Ku Klux Klan.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,,"nine-year-old black girl, Constance Folsom",United States,Ku Klux Klan,,"The specific motive is unknown; however, This incident occurred a few hours after a demonstration protesting the treatment of blacks in the racially divided community.  For several weeks prior to the incident, there had been unrest in the community between whites and blacks, with blacks protesting against racial, economic, and political injustices against them, asking for better jobs and representation in local government.",Firearms,4,Rifle/Shotgun (non-automatic),shotgun
72,1980,4,19,United States,North America,Tennessee,Chattanooga,35.04644,-85.309464,at crowd on downtown street corner in predominantly black community,"04/19/1980: Three Ku Klux Klansmen, shot four black women, who were standing in crowd on a downtown street corner in predominantly black community in Chattanooga, Tennessee, United States.  The Klansmen, William Church (imperial wizard of the Justice Knights of the Ku Klux Klan), Larry Payne, and Marshall Thrash, fired the shots from a shotgun, while driving by in a car shortly after setting two wooden crosses on fire just a few blocks away.  The women were wounded, but all treated for their injuries and survived.  This incident occurred during a time of racial tensions in the community.  All three Klansmen were brought to trial on four counts of assault with intent to commit murder; Church and Payne were acquitted by an all-white jury, and Thrash was convicted of the shooting and sentenced to 20 months in prison and a fine.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,,"four black women; Lela May Evaes, Kathline Johnson, Viola S. Ellison, Opal Lee Jackson",United States,Ku Klux Klan,,The perpetrators say they intended for the shots to call attention to the burning crosses a few blacks away; the incident occurred during a time of racial tensions.,Firearms,4,Rifle/Shotgun (non-automatic),shotgun
73,1980,5,0,United States,North America,Wisconsin,Tomah,43.97257,-90.504769,,"5/00/1980: Rebecca Bergstrom was picked up by Joseph Paul Franklin while hitchhiking.  After she admitted to him that she had previously dated an African American, Franklin shot and killed her.  He discarded her body in Mill Bluff State Park near Tomah, Wisconsin, United States.  The body was not discovered until May 3, 1980.",2,Other Crime Type,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,White person who admitted to dating an African American,white person who admitted to dating an African American,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,3,Handgun,pistol
74,1980,5,29,United States,North America,Indiana,Fort Wayne,41.079273,-85.139351,,"5/29/1980: Joseph Paul Franklin shot and wounded civil rights activist and president of the National Urban League, Vernon E. Jordan in Fort Wayne, Indiana, United States.  Vernon was in the company of a White woman at the time of the shooting.",,,0,0,Assassination,,NGO,Domestic NGO,"civil rights activist and president of the National Urban League, who dated a White woman",Vernon Jordan,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,4,Rifle/Shotgun (non-automatic),sniper rifle
75,1980,6,8,United States,North America,Ohio,Cincinnati,39.174345,-84.475014,Bond Hill,"6/8/1980: Joseph Paul Franklin shot and killed two African American teenagers, Darrell Lane and Dante Evans Brown, as they were walking on railroad tracks in Cincinnati, Ohio.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,"Black people in Cincinnati, Ohio",African Americans,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,4,Rifle/Shotgun (non-automatic),sniper rifle with .44 caliber bullets
76,1980,6,15,United States,North America,Pennsylvania,Johnstown,40.32726,-78.918354,Washington Street Bridge,"6/15/1980: Joseph Paul Franklin shot and killed Arthur Smothers, an African American, and his white girlfriend, Kathleen Mikula, as they were walking across the Washington Street Bridge in Johnstown, Pennsylvania, in the United States.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,"Interracial couple in Johnstown, Pennsylvania",Interracial couple,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,4,Rifle/Shotgun (non-automatic),sniper rifle
77,1980,8,4,United States,North America,Michigan,Detroit,42.331685,-83.047924,outside a tavern on the west side of Detroit and also at residence,"08/04/1980: Eight white men, who were members of the Ku Klux Klan, opened shotgun fire on a black man, George Lester Stewart, while he was standing in a parking lot outside a west side bar in Detroit, Michigan in the United States.  Stewart frequented the tavern which had a mostly white clientele and a white bartender, and the eight perpetrators conspired, prior to the incident,  to kill Stewart because of his race, and had even threatened him the month prior to the attack.  After the attack in the parking lot failed to injure him, the perpetrators attempted to shoot him with automatic rifles at his residence and altogether fired 27 shots.  Neither Stewart, nor any other individuals were wounded in either attack. Charles Furtaw, Donald Johnson, Raymond Eugene Echlin, Eugene John, Walter Belcher, Richard Johnson, Ronald Bishop, and Joseph Greenwell were the eight arrested and charged in the attack, and four of them pleaded guilty in court.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,,"black man, George Lester Stewart, who frequented a tavern with white clientele and white bartender",United States,Ku Klux Klan,,Racially motivated crime; target was black and frequented a majority white tavern,Firearms,4,Rifle/Shotgun (non-automatic),shotgun and an M-16 automatic rifle
78,1980,8,20,United States,North America,Utah,Salt Lake City,40.759505,-111.888229,Intersection of Fifth East and Ninth South,"8/20/1980:  Joseph Paul Franklin shot and killed two African Americans, Theodore Tracey Fields and David Loren Martin, who were jogging with two White women at Liberty Park in Salt Lake City, Utah in the United States.  One of the White women was also injured by bullet fragments.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,"Interracial mixed group in Salt Lake City, Utah",Group of Black men and White women,United States,White extremists,,"Joseph Paul Franklin, a former member of the Ku Klux Klan and the American Nazi Party, believed that he was upholding the honor of the White race by attacking interracial couples, Jews, and Blacks.  He hoped that other Whites would follow the examples of his racist attacks.  He aspired to incite a race war.",Firearms,4,Rifle/Shotgun (non-automatic),sniper rifle with .30 caliber bullets
79,1980,10,2,United States,North America,Connecticut,Manchester,41.76857,-72.520664,1 at residence,"10/02/1980: Three white teenagers firebombed the home of a black family in a predominantly white neighborhood in Manchester, Connecticut, United States.   The molotov cocktail was thrown through a bedroom window of the home of Bruce Meggett and Lucinda Harris, who were not home at the time of the incident.  Four children, ranging in ages from 6 years old to 15 years old, and their uncle were in the home when the lighted gasoline firebomb bounced off of the arm of the 6-year old girl and exploded, setting the home on fire.  No one was injured in the incident, but the fire caused $7,800 in damages to the home.  Though authorities believe that this incident had no involvement from the Ku Klux Klan, it occurred three weeks after the  Klan held its first public rally in the state in more than 70 years.  However, the bombing was intended to intimidate the family and other black families in the area, and infringe upon the family's housing rights. Charles N. Metheny and Eugene R. Gilliland were arrested and indicted for the arson, and a third suspect was being sought by police.",,,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Race/Ethnicity Identified,"Bruce Meggett and Lucinda Harris and their family, a black family in a white neighborhood",residence of a black family,United States,White extremists,,"The bombing was intended to intimidate the family and other black families in the area, and infringe upon the family's housing rights.  Though authorities believe that this incident had no involvement from the Ku Klux Klan, it occurred three weeks after the  Klan held its first public rally in the state in more than 70 years.",Incendiary,19,Molotov Cocktail/Petrol Bomb,molotov cocktail
80,1980,11,1,United States,North America,Ohio,Youngstown,41.0981,-80.650789,"outside on pavement, three blocks from residence","11/01/1980:  Black girl, Veronica Vaughan, was shot and killed by three white youths in a pickup truck, driving behind her, as she was walking home from a party with a friend. Vaughan was shot just three blocks from her parents home, where she lived in Youngstown, Ohio in the United States.  The perpetrators, all three of whom were arrested and charged for Vaughan's murder, stated that they wanted to attack Black people out of revenge for being jumped by a group of Blacks previously.  However, they shot Blacks at random, not specifically the people who attacked them.  This attack occurred at a time when racial tensions were volatile in Youngstown, and violence against blacks across the nation in general was increasing, as was activity by the Ku Klux Klan, which lead to the perception of a conspiracy against blacks.  This attack caused hysteria within the Black community.",,,1,0,Armed Assault,,Private Citizens & Property,Race/Ethnicity Identified,,"Veronica Vaughan, a black girl",United States,White extremists,,"The perpetrators stated that they wanted to attack Black people out of revenge for being jumped by a group of Blacks previously.  However, they shot Blacks at random, not specifically the people who attacked them.  This attack occurred at a time when racial tensions were volatile in Youngstown, and violence against blacks across the nation in general was increasing, as was activity by the Ku Klux Klan, which lead to the perception of a conspiracy against blacks.  This attack caused hysteria within the Black community.",Firearms,5,Unknown Gun Type,
81,1980,12,6,United States,North America,California,Los Angeles,34.114453,-118.059512,"Temple City, a suburb of Los Angeles","12/06/1980: An arson at the Temple Beth David in Temple City, a suburb of Los Angeles, California, in the United States, caused $100,000 worth of damage. There were no casualties from this incident.  The perpetrators, Michael Canale and Donald Nielson, who were members of the neo-Nazi National Socialist American Workers Party, were arrested and charged for the arson which was set during a Hanukkah celebration.",,,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Temple Beth David,Jewish temple,United States,Neo-Nazi extremists,,This incident occurred during a time of increased anti-Semitic violence in the United States.,Incendiary,18,Arson/Fire,
82,1981,2,13,United States,North America,Tennessee,Memphis,35.14968,-90.048929,The incident occurred in a vehicle outside an east Memphis hotel,"02/13/1981: Three members of the Ku Klux Klan, Timothy Wayne Snider and Richard Lee Roberts and one unidentified man, kidnapped a former KKK chaplain William Seward from his home and forced him into their van, hand cuffed him, and held Seward at gun point for a two hour ride to east Memphis in Tennessee, United States, before leaving him near a hotel after they poured yellow paint on him and feathered  him.  Seward stated that the men attempted to collect debts they believed he owed them after accusing Seward of being a government agent and traitor.  The men cut Seward's hair, and threatened his life and the lives of his family members, and told him they knew where he ""cashed his government paycheck,"" all of which was untrue.  Timothy Wayne Snider and Richard Lee Roberts were arrested and charged with kidnapping.  One day prior to the incident, a Klansman called the Commercial Appeal newspaper and stated that a traitor to the Klan would be disciplined the next day, and then after the incident, another call came through notifying that the deed was done and the man could be found near the east Memphis area, where Seward was released.",,,1,0,Hostage Taking (Kidnapping),2,Private Citizens & Property,Political Party Member/Rally,,"former KKK chaplain, William Seward",United States,Ku Klux Klan,,Intimidation of target and those who decide to go against the KKK or help the government; an issue of inner-party conflict.,Firearms,5,Unknown Gun Type,
83,1981,3,26,United States,North America,Alabama,Mobile,30.686395,-88.053239,,,,,1,0,Hostage Taking (Kidnapping),,Private Citizens & Property,Named Civilian,,Michael Donald,United States,Ku Klux Klan,,,Melee,24,Rope or Other Strangling Device,Rope
84,1981,5,26,United States,North America,Tennessee,Nashville,36.167783,-86.778365,,,,,0,0,Bombing/Explosion,,Religious Figures/Institutions,Place of Worship,,parking lot of Synagogue,United States,Ku Klux Klan,Confederate Vigilante Knights of KKK,,Explosives,16,Unknown Explosive Type,
85,1982,1,16,United States,North America,Mississippi,Jackson,32.29869,-90.180489,local newspaper office,"01/16/1982: Two members of the Ku Klux Klan, Kenneth Painter (member of the Mississippi Independent Knights of the KKK) and Larry Howard Walker, fired about 20 rounds of ammunition from carbine rifles into the office of black newspaper, Jackson Advocate, in a black business district in downtown Jackson, Mississippi, United States.  No one was injured as the office was unoccupied at the time of the shooting, just after midnight, but there was minor damage to windows, office equipment and furniture.  This incident had racial motivations, and came in the midst of similar shootings of black newspapers including this one in previous months. Both perpetrators were arrested for the attack.",,,1,0,Facility/Infrastructure Attack,,Journalists & Media,Newspaper Journalist/Staff/Facility,Jackson Advocate,local black newspaper,United States,Ku Klux Klan,,Racially motivated by the KKK; incident occurred during time of racial tensions and several attacks against black newspaper offices,Firearms,2,Automatic or Semi-Automatic Rifle,carbine rifle
86,1983,7,28,United States,North America,Alabama,Montgomery,32.37578,-86.303036,,"07/28/1983: The Southern Poverty Law Center in Montgomery, Alabama, United States was set ablaze by unknown arsonist(s) in the early morning hours, causing damage to walls, doors, carpets, equipment, case files and books in the library.  The arson was set by using a petroleum-based liquid mixed with motor oil or diesel fuel, and though the perpetrators are unknown, the Ku Klux Klan is suspected to be responsible for the attack as the Center had several legal cases pending against the KK and the organization is home to Klanwatch, a group that monitors activities of the KKK, educates the public and leads litigation.  Additionally, the arson was set specifically to the office of the director of Klanwatch, Randall Williams.  There were no injuries in the incident.",2,Other Crime Type,1,0,Facility/Infrastructure Attack,,NGO,Domestic NGO,Southern Poverty Law Center,Southern Poverty Law Center,United States,Ku Klux Klan,,"Uncertain; however, it is suspected that the KKK was responsible for the arson because the Southern Poverty Law Center was home to Klanwatch, a group that monitored activities of the KKK, and the Center also had several legal cases pending against the KKK in federal courts.",Incendiary,18,Arson/Fire,petroleum-based liquid (possibly gasoline) was used with motor oil or diesel fuel to set fire in four corners of the building
87,1985,6,2,United States,North America,Ohio,Cleveland,41.479561,-81.675461,at residence in city's Slavic Village neighborhood,"06/02/1985: The east side home of a black family in the Slavic neighborhood of Cleveland, Ohio, United States, was firebombed by an explosive that was thrown through a window of the home, resulting in the death of elderly black woman, Mabel Gant, who burned to death as she was trapped in her first floor bedroom during the fire.  Two white teenagers from the neighborhood were arrested as suspects and authorities were searching for additional suspects.  The Gant family was one of few black families in the white Polish neighborhood, and authorities confirmed that the gasoline bombing was racially motivated. This was one of several in a wave of racially motivated incidents in the area as well as other states at the time.",2,Other Crime Type,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Race/Ethnicity Identified,"home of Mabel Gant's family, a black family in a predominantly white, Slavic neighborhood",home of a black family in a predominantly white neighborhood,United States,White extremists,,Racially motivated; the Gant family was one of only a few black families in a predominantly white neighborhood,Incendiary,19,Molotov Cocktail/Petrol Bomb,gasoline firebomb thrown through window of home
88,1985,11,19,United States,North America,Delaware,Dover,39.158035,-75.524734,,"11/19/1985: A suspected firebomb caused a fast-spreading fire to destroy the local headquarters of the National Association for the Advancement of Colored People (NAACP) in Dover, Delaware, United States.  The incident occurred just hours before a hearing on voting rights was set to take place.  There were no casualties in the incident; however, the fire  gutted the NAACP office and a second-floor rooming house, and slight damage to a beauty parlor in the same building. The perpetrators are unknown, but are suspected to have had racial motivations.",2,Other Crime Type,1,0,Facility/Infrastructure Attack,,NGO,Domestic NGO,National Association for the Advancement of Colored People (NAACP),"National Association for the Advancement of Colored People (NAACP) headquarters offices in Dover, Delaware",United States,White extremists,,Suspected to be racial; the fire occurred hours before a voting rights hearing was set to take place,Incendiary,19,Molotov Cocktail/Petrol Bomb,"fire, potentially started by a firebomb"
89,1986,9,29,United States,North America,Idaho,Coeur D'Alene,47.677755,-116.780419,,,,,1,0,Bombing/Explosion,,Government (General),Government Building/Facility/Office,,federal office bldg,United States,Aryan Nation,,,Explosives,14,Time Fuse,Explosive - timed
